TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/10/28
TIME	13:35:09
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	1
XUNITS	SEC
YUNITS	INTENSITY
FIRSTX	0.0000
LASTX	5000.0000
NPOINTS	5001
FIRSTY	390.98373
MAXY	508.86420
MINY	-351.00211
XYDATA
0.0000	390.984
1.0000	390.284
2.0000	394.858
3.0000	395.075
4.0000	392.43
5.0000	391.782
6.0000	392.192
7.0000	389.836
8.0000	390.044
9.0000	392.286
10.0000	394.474
11.0000	394.809
12.0000	393.558
13.0000	393.733
14.0000	394.145
15.0000	392.346
16.0000	388.675
17.0000	389.855
18.0000	391.13
19.0000	393.132
20.0000	392.073
21.0000	392.012
22.0000	395.131
23.0000	394.278
24.0000	389.251
25.0000	385.61
26.0000	392.012
27.0000	394.398
28.0000	391.757
29.0000	392.841
30.0000	395.721
31.0000	394.845
32.0000	395.73
33.0000	399.84
34.0000	394.016
35.0000	394.204
36.0000	400.192
37.0000	396.667
38.0000	394.903
39.0000	394.334
40.0000	394.236
41.0000	396.963
42.0000	398.984
43.0000	396.627
44.0000	394.495
45.0000	399.868
46.0000	396.588
47.0000	390.761
48.0000	393.876
49.0000	397.178
50.0000	397.083
51.0000	394.712
52.0000	393.991
53.0000	394.041
54.0000	396.713
55.0000	393.914
56.0000	391.932
57.0000	393.712
58.0000	391.674
59.0000	392.119
60.0000	396.782
61.0000	390.287
62.0000	336.12
63.0000	-351.002
64.0000	-227.535
65.0000	-207.953
66.0000	-201.659
67.0000	245.166
68.0000	230.519
69.0000	196.678
70.0000	195.556
71.0000	197.882
72.0000	197.215
73.0000	195.907
74.0000	196.795
75.0000	196.055
76.0000	196.785
77.0000	194.92
78.0000	196.503
79.0000	200.029
80.0000	197.708
81.0000	197.778
82.0000	200.548
83.0000	203.476
84.0000	206.257
85.0000	205.024
86.0000	202.133
87.0000	203.576
88.0000	206.358
89.0000	204.306
90.0000	203.087
91.0000	203.441
92.0000	203.411
93.0000	207.346
94.0000	209.162
95.0000	206.472
96.0000	206.803
97.0000	208.214
98.0000	207.772
99.0000	206.034
100.0000	205.707
101.0000	206.706
102.0000	208.357
103.0000	210.765
104.0000	209.628
105.0000	210.216
106.0000	211.72
107.0000	211.029
108.0000	209.185
109.0000	209.153
110.0000	210.369
111.0000	212.014
112.0000	213.364
113.0000	211.204
114.0000	211.523
115.0000	214.63
116.0000	215.871
117.0000	217.443
118.0000	217.607
119.0000	215.413
120.0000	216.858
121.0000	218.368
122.0000	219.338
123.0000	219.466
124.0000	218.311
125.0000	219.252
126.0000	218.665
127.0000	221.725
128.0000	222.308
129.0000	219.703
130.0000	217.641
131.0000	217.935
132.0000	221.193
133.0000	220.496
134.0000	220.875
135.0000	222.609
136.0000	222.618
137.0000	223.326
138.0000	224.021
139.0000	224.102
140.0000	223.906
141.0000	224.651
142.0000	226.487
143.0000	227.279
144.0000	228.699
145.0000	226.83
146.0000	225.25
147.0000	224.796
148.0000	225.304
149.0000	227.357
150.0000	227.427
151.0000	227.519
152.0000	228.681
153.0000	231.474
154.0000	231.933
155.0000	227.255
156.0000	228.737
157.0000	231.655
158.0000	228.183
159.0000	229.562
160.0000	233.116
161.0000	234.166
162.0000	234.647
163.0000	235.255
164.0000	233.85
165.0000	232.5
166.0000	232.866
167.0000	234.34
168.0000	236.503
169.0000	234.241
170.0000	234.868
171.0000	238.461
172.0000	238.116
173.0000	236.471
174.0000	238.115
175.0000	240.814
176.0000	240.217
177.0000	238.409
178.0000	236.487
179.0000	236.407
180.0000	236.3
181.0000	238.615
182.0000	241.81
183.0000	239.545
184.0000	236.556
185.0000	238.94
186.0000	242.535
187.0000	241.742
188.0000	243.459
189.0000	244.908
190.0000	242.947
191.0000	245.49
192.0000	245.394
193.0000	243.888
194.0000	244.777
195.0000	243.132
196.0000	242.77
197.0000	244.819
198.0000	244.183
199.0000	242.837
200.0000	244.764
201.0000	245.862
202.0000	246.944
203.0000	249.021
204.0000	249.721
205.0000	248.91
206.0000	249.311
207.0000	250.674
208.0000	249.967
209.0000	250.825
210.0000	250.895
